Name;Hours without subtasks;Hours with subtasks
                              Priprava podkladov na meeting;3h 2m;3h 2m
                    Casy usetrene novou verziou;1h 18m;1h 18m
                    Fakturacia - Mail do Andisu;26m 11s;58m 11s
                         Talk - Peto;32m;32m
                    Talk - Peto;38m;38m
                    Talk - Tomas;33m 14s;33m 14s
                    Meeting;21m 16s;21m 16s
                    Meeting - Mail;6m 24s;6m 24s
               Andis meeting - zasadacka 1;7h 3m;7h 3m
               Sentinel 2.0.0.1;-;7h 2m
                    Testovanie aplikacie;5h 55m;7h 2m
                         Mail Mojovi;1h 6m;1h 6m
               Testovanie nr.1;1h 47m;6h 33m
                    Mail do Andisu;4h 28m;4h 28m
                    Brainstorming - Jardo;17m 14s;17m 14s
               Andis - priprava;1h 3m;4h 10m
                    Zasadacka - priprava;1h 13m;1h 13m
                    Priprava na meeting c. 2;1h 9m;1h 9m
                    Priprava na meeting - Jaro;44m 59s;44m 59s
               Andis meeting - zasadacka 2;3h 46m;3h 46m
               Meeting v Andise - switch 1x4;1h 55m;1h 55m
               Andis nacenenie;27m 50s;1h 48m
                    Mail do Andisu;1h 4m;1h 4m
                    Talk s Petom;15m 38s;15m 38s
               Sentinel 2.0.0.5;-;1h 36m
                    Testovanie aplikacie;54m 59s;54m 59s
                    Testovanie vzorcov;41m 31s;41m 31s
               Andis meeting - zasadacka 3;1h 35m;1h 35m
               Preco Linux;-;1h 34m
                    napady;1h 7m;1h 7m
                    Talk - Peto;26m 57s;26m 57s
               Sentinel 2.0.0.4;56m 19s;1h 16m
                    Testovanie aplikacie;20m;20m
               Talk - Jardo;48m 1s;48m 1s
               Priprava na meeting - Jardo;31m;31m
               Sentinel 2.0 1. beta verzia;-;30m 42s
                    Plan testov;30m 42s;30m 42s
               Talk - Peto;29m;29m
               Export / Import nastaveni;25m 1s;25m 1s
               Mailova komunikacia Andis;24m 47s;24m 47s
               Telefonat s Mojom;23m 37s;23m 37s
               Priprava interrogatora;17m 4s;17m 4s
          Tvorba manualu / specifikacie;-;57h 58m
               Sentinel specka;25h 6m;25h 6m
               koncepty S-line merani;2h 17m;15h 13m
                    Doplnenie do manualu;12h 23m;12h 23m
                    Flowcharty - Marek;33m 4s;33m 4s
               Sentinel brainstorming;2h 1m;7h 13m
                    Brainstorming - Jaro;4h 2m;5h 12m
                         Peto meeting;1h 9m;1h 9m
               Koncepty dataloggerov / SW cast;3h 4m;4h 21m
                    Talk - Jaro;1h 16m;1h 16m
               Sentinel - koncepty GUI - Marek meeting;2h 29m;2h 29m
               Meeting Peto / Jaro / Gabo;1h 18m;1h 18m
               Sentinel 2.0;53m 32s;53m 32s
               UML diagramy;35m 29s;35m 29s
               Dohodnutie dalsich krokov Sentinel 1.1 / 2.0;33m 43s;33m 43s
               Talk s Jardom ohladom S-line Scan 400;13m;13m
          Sentinel 1.0;-;11h 18m
               Sentinel 1.0;3m 52s;11h 18m
                    Testovanie bugfix ID1 Sentinel 1.0;2h 24m;3h 55m
                         Brainstroming dalsich krokov - Jaro;1h 6m;1h 6m
                         Navrh testov - Jaro;15m 17s;15m 17s
                         Talk s Petom o vysledkoch testov;9m 31s;9m 31s
                    Testovanie Andis bugfix04;2h 2m;2h 2m
                    Nove screenshoty;1h 18m;1h 18m
                    Komunikacia s ANDIS;1h 13m;1h 13m
                    Peto meeting ohladom uprav Sentinel 1.0;1h 4m;1h 4m
                    Testovanie Andis bugfix03;30m 37s;30m 37s
                    Testovanie Andis bugfix05 - final;25m 31s;25m 31s
                    Final check 1.0 - Peto;23m 12s;23m 12s
                    Testovanie Andis bugfix05;19m 44s;19m 44s
          Dynamicke meranie - zaklady;-;6h 42m
               Dynamicke meranie UML;1h 20m;1h 56m
                    Marek - Visio;35m 51s;35m 51s
               Talk s Petom - Sentinel dynamicke problemy;1h 54m;1h 54m
               Dynamicke meranie - priprava;1h 36m;1h 36m
               Koncepty dynamickeho merania;1h 15m;1h 15m
          Testovanie 2.0;-;3h 54m
               Setup systemu;1h 40m;1h 40m
               Sumar zisteni;1h 8m;1h 8m
               Zistienia z meetingu;51m 53s;51m 53s
               Problem so spustenim SW;13m 44s;13m 44s
