Name;Hours without subtasks;Hours with subtasks
||Vyhodnotenie kalibracie;154.00;351.00
|||Prerabka vzorcov;136.00;136.00
|||Diskusia - Tomas;50.85;50.85
|||Overovacie cykly;9.52;9.52
||Prehlad testov - mail;14.82;14.82
|Production;0.00;152.00
||Vyroba FFT membran - mail - zadanie;17.70;152.00
|||Postup testov;67.00;67.00
|||Kalibracia vzoriek;55.48;67.00
||||Diskusia - Tomas;12.00;12.00
1859 - S-line Scan 800 - Ejtech and Birefringence testing;0.00;2490.00
|Testing & Evaluation;0.00;1682.00
||Nastavenie testov;526.00;526.00
||Testy S-line Scan;0.00;277.00
|||Vyhodnotenie testov;143.00;143.00
|||Nastavenie testov;87.00;87.00
|||Diskusia - Jardo;47.00;47.00
||Testy spotreby;0.00;194.00
|||Nastavenie testov;173.00;173.00
|||Vyhodnotenie;21.00;21.00
||Vyhodnotenie bending testov;61.00;187.00
|||Diskusia - Jardo;126.00;126.00
||Testoavnie utlm vs vlnova dlzka;181.00;181.00
||Testy kombinacie S-lin Scan a Switch;0.00;78.00
|||Nastavanie testov;78.00;78.00
||Vyhodnotenie druhych testov - Scrambler na MOI;77.00;77.00
||Vyhodnotenie prvych testov - bez scramblera;61.00;61.00
||Talk - Peto;40.00;40.00
||Nastavenie komory;25.57;25.57
||Vyhodnotenie tretieho testu - Scrambler na S-line Scan;21.07;21.07
||Zber udajov;11.00;11.00
|Design;0.00;667.00
||Cenove ponuky na Polarization Switch / Scrambler;26.60;642.00
|||Laser linewidth, Coherence length;246.00;246.00
|||Zapojenie zariadenia;120.00;120.00
|||Talk - Jaro;99.00;99.00
|||Mail;41.17;41.17
|||Diskusia - Peto / Bram / Tomas / Potrok;28.85;28.85
|||Mail Bramovi;27.82;27.82
|||Mail - Wajih;27.00;27.00
|||Talk - Peto;25.20;25.20
||Mail - doodnutie detailov;25.13;25.13
|General;0.00;140.00
||Fugro / Faz - Birefringence dokument;105.00;105.00
||Meeting - Peto / Ado / Tomas / Jardo;31.00;31.00
||Objednavka polarizatora;4.00;4.00
SW na analyzu udajov;0.00;2336.00
|zadanie uloh Danovi;69.00;1706.00
||Priprava;19.53;1073.00
|||Synchronizator;106.00;1054.00
||||Testovanie;211.00;718.00
|||||Visual Studio tasks;398.00;398.00
|||||Priprava Test case-ov;108.00;108.00
||||Example materialy / popis;228.00;228.00
||Testovanie;222.00;222.00
||Podrobny rozpis uloh;174.00;174.00
||Talk Dano;130.00;130.00
||Testovanie c.3;35.78;35.78
|Specka - meeting - Marek;140.00;602.00
||Testovanie c.2;289.00;289.00
||Testovanie c.1;145.00;145.00
||Zadanie uloh Danovi - Marek;26.68;26.68
|Meeting - Marek / Peto;28.00;28.00
Eurovia;0.00;2308.00
|Projects;0.00;2308.00
||1426 - Stary most;5.02;2308.00
|||Maintenance;0.00;1591.00
||||rekonfiguracia sieti;18.00;1057.00
|||||Najst spravne definicie snimacov;361.00;361.00
|||||Zapojenie snimacov;152.00;152.00
|||||Check intenzit peakov;141.00;141.00
|||||Nulovanie snimacov;127.00;127.00
|||||Nastavenie integration time a threshold;116.00;116.00
|||||Stary most - aktualny stav - mail;99.00;99.00
|||||SHP - mail ohladom nenulovanych snimacov;20.85;20.85
|||||Check WL logov;20.55;20.55
||||Vyjazd na Stary most - Jaro;201.00;201.00
||||Instalacia Sentinel bugfix07 - novy vzorec na novy komp;117.00;117.00
||||Reinstall Teamvieweru;47.38;47.38
||||instalacia Sentinel - Andis bugfix01;45.88;45.88
||||Test interogatora;10.65;45.65
|||||Konfiguracia Sentinel;35.00;35.00
||||Nachystanie veci;45.00;45.00
||||Instalacia Sentinel bugfix07 - novy vzorec;30.77;30.77
|||Production;0.00;511.00
||||instalacia;511.00;511.00
|||Evaluation;0.00;200.00
||||Check Sensor Log;121.00;138.00
|||||Talk - Peto;16.80;16.80
||||clanok do IS;20.82;20.82
||||SHP komunikacia;20.67;20.67
||||Petov report- check;15.90;15.90
||||Check reportov;4.73;4.73
Getec;42.65;2280.00
|Projects;0.00;1740.00
||1755 - Tendon strand monitoring;20.08;1210.00
|||Maintenance;0.00;624.00
||||Interrogator - mail - Justin;25.55;524.00
|||||Instalacia Sentinel - Paul;133.00;133.00
|||||Instalacia Sentinel - Justinov laptop;128.00;128.00
|||||Instalacia Sentinel;99.00;99.00
|||||Check interogatora;75.00;75.00
|||||Instalacia Sentinel 2. interrogator;46.83;46.83
|||||Paul - problemy s interogatorom;15.00;15.00
||||Instalacia Sentinel - Daniel;70.00;70.00
||||Paul - problem so snimacom - Mail - Peto;30.00;30.00
|||Design;0.00;449.00
||||Konfiguracia SC-11;0.43;362.00
|||||Manual na nulovanie snimacov;178.00;178.00
|||||Diskusia - Peto;112.00;112.00
|||||Vytvorenie config suboru;71.00;71.00
||||Koncept - Peto;75.00;75.00
||||CSIC - distributed riesenie;11.97;11.97
|||General;0.00;80.00
||||Meeting Peto / Ado / Tomas;58.72;58.72
||||Mail Peto / Ado / Tomas;20.90;20.90
||||Vizum - vybavenie;1.10;1.10
|||Evaluation;0.00;36.00
||||Kalibracia SC-11;36.00;36.00
||1707 - Tideway Central Sewer Monitoring;0.00;307.00
|||Production;0.00;307.00
||||Testovanie sieti / konfiguracia Sentinel;298.00;298.00
||||Kalibracia;8.93;8.93
||1191 - Hamburg Sewer;1.03;142.00
|||Maintenance;0.00;141.00
||||Instalacia Sentinel 1.0 (Andis bugfix05);123.00;123.00
||||Nastavenie SW;18.17;18.17
||Pile monitoring;0.00;79.00
|||General;0.00;79.00
||||Historia mailov / analyza udajov;51.87;51.87
||||Diskusia - Peto;28.00;28.00
|Misc;0.00;268.00
||Meeting - Julian;0.85;167.00
|||Priprava;166.00;166.00
||Zoznam zariadeni pre Ada;61.00;61.00
||Sewer monitoring;30.00;30.00
||Smart cable;10.13;10.13
|R&D Projects;0.00;174.00
||1514 - Channel Tunnel;100.00;174.00
|||Design;0.00;50.12
||||Konfiguracia Sentinel;50.12;50.12
|||Testing & Evaluation;0.00;23.92
||||Kalibracia - vyhodnotenie;23.92;23.92
|Maintenance;0.00;53.53
||Konfiguracia snimacov na vystavu;47.03;47.03
||Interrogator problem - Justin;6.50;6.50
Capris;3.83;2129.00
|Projects;0.00;2117.00
||660 - Bridge in Costa Rica;0.00;2117.00
|||Evaluation;0.00;1640.00
||||LC-02 vs. EPS;0.00;1290.00
|||||Nastavenie testov;934.00;934.00
|||||Vyhodnotenie;307.00;307.00
|||||Diskusia - Peto;48.58;48.58
||||Encardio rite EPS setup;117.00;207.00
|||||Test - Jardo;90.00;90.00
||||Kalibracia LC-02;83.00;143.00
|||||Kalibracia fakulta - support chalani;48.00;48.00
|||||Prenos zavazi;12.00;12.00
|||General;0.00;476.00
||||Mail Alexisovi;107.00;469.00
|||||Total Soil Stress;271.00;271.00
|||||Phone conference - MCH / Capris / Lowy;84.00;84.00
|||||Kupa Total Soil Pressure Cell z Geosense - Peto;4.98;4.98
||||Diskusia Peto/Tomas;7.00;7.00
|Koncepty;7.93;7.93
1443 - MS-03;13.60;1906.00
|Testing & Evaluation;0.00;1544.00
||MS-03 navarena na ocelovu platnu;70.00;1447.00
|||Vyhodnotenie merani;803.00;820.00
||||Talk - Tomas;17.00;17.00
|||Talk - Tomas;242.00;242.00
|||Nsatevenie testov;176.00;176.00
|||Navaranie - Mato - fakulta;115.00;115.00
|||Mail - Tomas, Mato;23.32;23.32
||Kalibracia;81.00;81.00
||Kalibracia - help;16.45;16.45
|Design;0.00;241.00
||Diskusia - teplotny behavior / Tomas;140.00;201.00
|||Diskusia - Tomas / Mato;36.00;36.00
|||Check vysledkov;25.08;25.08
||Diskusia - Tomas;40.00;40.00
|General;0.00;106.00
||MS-03 meeting;91.00;91.00
||Stav MS-03;15.00;15.00
1913 - Testing of pressure sensors (Fugro);0.00;1697.00
|Testing & Evaluation;0.00;1697.00
||Vyhodnotenie kalibracie;938.00;938.00
||Kalibracia snimaca - Brano;758.00;758.00
Fugro;0.00;1407.00
|Projects;0.00;1102.00
||1806 - Pile monitoring;0.00;1102.00
|||Production;0.00;392.00
||||Kalibracne listy - Plevi;183.00;239.00
|||||kontrola;55.87;55.87
||||kalibracia vzoriek - Plevi;152.00;152.00
|||General;0.00;265.00
||||Export udajov - Podbiel;145.00;171.00
|||||Talk - Tomas;25.30;25.30
||||Vysvetlenie teplotnej kalibracie - Devrez;94.00;94.00
|||Maintenance;0.00;169.00
||||Najst spravny kalibraciu;169.00;169.00
|||Evaluation;0.00;164.00
||||Skuska kalibracie MS-03;91.00;99.00
|||||diskusia - marek;8.00;8.00
||||kalibracia;65.00;65.00
|||Design;0.00;109.00
||||Devrez - MS-03 request;3.13;109.00
|||||Check Tomasova tabulka;60.00;60.00
|||||Check WL range;46.10;46.10
|R&D Projects;0.00;223.00
||1743 - Fugro - Strain insert testing;0.00;223.00
|||Design;0.00;223.00
||||Devrez - phone conference;216.00;216.00
||||Studovanie problematiky;6.30;6.30
|General;0.00;82.00
||Pomoc pri vyhodnteni kalibracie;73.00;73.00
||Mail - Peto / Belus;9.30;9.30
Timecamp;0.00;1342.00
|Report pre Peta;51.47;605.00
||Report August - November;129.00;364.00
|||Analyza - Marekov report;194.00;194.00
|||Analyza - Petov report;41.30;41.30
||Celorocny report;139.00;189.00
|||Talk - Peto;50.00;50.00
|Vyrvorenie kategorii;267.00;417.00
||Skuska importu - Marek;59.22;59.22
||Talk - Peto;52.35;52.35
||Check importu;23.77;23.77
||Help - Mato;15.00;15.00
|Organizacia uloh;100.00;140.00
||Doplnenie chybajucich casov;40.50;40.50
|Meeting;114.00;114.00
|Priprava na meeting;60.00;60.00
|Mail;4.90;4.90
Kiwa;0.65;1198.00
|Projects;0.00;1046.00
||1368 - Benthuizen;0.00;862.00
|||Evaluation;0.00;710.00
||||Benthuizen - analyza udajov;352.00;710.00
|||||Vypocet stress;185.00;357.00
||||||Nastavenie snimaca u Robberta;71.00;71.00
||||||Novy vzorec do Sentinel;70.00;70.00
||||||Mail - Robbert;31.38;31.38
|||Maintenance;0.00;152.00
||||Benthuizen - update Sentinel;92.00;92.00
||||Benthuizen rekonfiguracia;58.02;58.02
||||Benthuizen S-line View problemy;2.57;2.57
||Sandworm;0.00;183.00
|||Sandworm 2;0.00;102.00
||||Konfiguracia Sentinel;102.00;102.00
|||Testovanie Sandworm;81.00;81.00
|Maintenance;0.00;151.00
||Instalacia S-line comp;151.00;151.00
CERN;23.00;1037.00
|Meeting;480.00;480.00
|Priprava - Plevi;215.00;215.00
|Talk - Peto;178.00;178.00
|Phone call;58.00;58.00
|Instalacia Sentinel;40.00;40.00
|Priprava veci na meeting;18.23;18.23
|Mail od Peta;13.87;13.87
|Talk - Tomas;10.00;10.00
Organizacne veci;0.00;773.00
|FOS meeting;304.00;304.00
|Meeting - Marek - stahovanie;29.13;118.00
||stahovanie;84.00;84.00
||Upratanie OPI skrine;5.40;5.40
|Upratanie stola;101.00;112.00
||Prenasanie veci;11.00;11.00
|Meeting - Peto;73.00;73.00
|Vyroba pocas dovoleniek - Marek / Tomas;66.00;66.00
|BOZP skolenie;60.00;60.00
|Call s Tomasom;40.00;40.00
S-line View 1.0;0.00;680.00
|General;0.00;503.00
||Simulacia casov nastavenia VDV;184.00;196.00
|||Talk - Peto;12.10;12.10
||Cloud monitoring solutions;84.00;84.00
||Priprava na phone call s Thorarinnom;66.00;66.00
||Phone call s Thorarinnom;53.03;53.03
||Otazky ohladom Dashboard - Thorarinn;51.10;51.10
||Riesenie zemny poctu snimacov - Thorarinn, Andres;32.70;32.70
||Otazky na Thorarinna ohladom alert a warning;19.23;19.23
|Maintenance;0.00;177.00
||VDV 2016;67.00;141.00
|||Backup / Instalacia;73.00;73.00
||Sprava servera;36.23;36.23
FOS - others;0.00;636.00
|Kalibracne makra;0.00;636.00
||Nove makro pre teplotne snimace;474.00;636.00
|||Novy vzorec;92.00;92.00
|||Implementacia do Sentinelu 1.0;37.70;37.70
|||Check novych kalibracnych listov;17.88;17.88
|||Novy vzorec do kalibracnych listov;13.58;13.58
Problemy;0.00;515.00
|Nastavenie notebooku;230.00;230.00
|Zalohovanie udajov;114.00;114.00
|Cistenie kompu - odinstalovanie;81.00;81.00
|Oprava notebooku;75.00;75.00
|Problem s TeamViewer;14.52;14.52
1855 - Mortar project;0.00;503.00
|Testing & Evaluation;0.00;503.00
||Prvy tyzden logovania;197.00;197.00
||Zapnutie testov;150.00;150.00
||Logovanie;106.00;106.00
||Uprava logovania, upratanie kablov;26.03;26.03
||Zapnutie testov - Plevi;24.48;24.48
EC -Test systems;0.00;480.00
|Misc;0.00;309.00
||Illumisense Wave / Strain datasheet;69.00;69.00
||Interrogator tender;58.35;58.35
||Prerobenie kalibracnych listov;53.37;53.37
||Check kalibracnych listov;52.83;52.83
||Illumisense Wave / Strain;43.72;43.72
||Testovanie zaraidenia;32.40;32.40
|Projects;0.00;105.00
||1713 - Naval Academy;0.00;87.00
|||General;0.00;87.00
||||Uvod;56.55;56.55
||||Diskusia - Ado;31.03;31.03
||1750 - Bridge monitoring;0.00;17.68
|||General;0.00;17.68
||||Uvod;17.68;17.68
|Maintenance;0.00;65.00
||Instalacia Sentinel;65.00;65.00
Actphast;0.00;411.00
|Meeting - Peto / Edo / Gabo;229.00;229.00
|Kick-off meeting;75.00;75.00
|Phone conference - Edo;70.00;70.00
|Maily;22.65;22.65
|Diskusia - Peto;15.00;15.00
MS Systems;0.00;386.00
|Projects;0.00;386.00
||1897 - Kuryk project;0.00;204.00
|||Production;0.00;126.00
||||Nastavenie / test zostavy;111.00;111.00
||||Check kalibracnych listov;15.52;15.52
|||General;0.00;77.00
||||Lokalizacia Sentinelu;0.00;77.00
|||||Mail;77.00;77.00
||1715 - Harbor project;0.00;181.00
|||Production;0.00;155.00
||||Nastavenie MOI pre problematicke peaky - teplotna kalibracia;94.00;94.00
||||Testovanie S-line Scan+comp;55.08;55.08
||||Check kalibracnych listov;6.10;6.10
|||Evaluation;0.00;26.00
||||Check Tomasovho reportu;26.00;26.00
FBGS;0.00;315.00
|Misc;0.00;242.00
||Vyhodnotenie kalibracie TC-03;125.00;125.00
||Mail ohladom FFT a PI;23.03;68.00
|||Talk - Jardo;26.38;26.38
|||Talk - Peto;9.75;9.75
|||Mail do Fugra / Faz - Tomas;9.65;9.65
||Check kalibracnych dokumentov - TC-03;40.17;40.17
||Check kalibracnych listov;7.92;7.92
|Projects;0.00;73.00
||Kvalifikacia S-line Scan;0.00;38.70
|||Mail - Bram;38.70;38.70
||PI Femtosecond fiber;0.00;34.47
|||Mail - Peto / Bram;34.47;34.47
1756 - Vibracne testy;108.00;295.00
|Design;0.00;186.00
||Meeting s Chmelkom na SjF;105.00;105.00
||Dohodnutie detailov s Matom;60.00;81.00
|||Mail;20.62;20.62
Ejtech;0.00;275.00
|Projects;0.00;188.00
||XXX - Interrogator;0.00;188.00
|||Production;0.00;135.00
||||Balenie / Priprava / nastavenie / testovanie / kalibracne listy;92.00;92.00
||||Kalibracne listy - Plevi;43.33;43.33
|||General;0.00;53.30
||||Mail - vysledky testov;53.30;53.30
|General;0.00;86.00
||Testovanie interogatorov - Jardo;86.00;86.00
Technobis;0.00;259.00
|Meeting;180.00;180.00
|Talk - Peto;73.00;73.00
|Rolfov email;6.25;6.25
1818 - D-0x FFT;0.00;246.00
|Design;0.00;246.00
||Makro na kalibraciu;246.00;246.00
Audit;0.00;230.00
|Priprava na audit;0.00;200.00
||Vyvojove ulohy - Edo;147.00;147.00
||PO na TimeCamp;52.67;52.67
|Meeting;30.00;30.00
ANV s.r.o.;0.00;227.00
|General;0.00;227.00
||Introduction meeting;227.00;227.00
Vyrobne zariadenia v SX;0.00;208.00
|Strain rig;10.65;152.00
||Uprava kalibracneho makra;57.15;57.15
||Kalibracia, diskusia - Tomas;50.75;50.75
||Vymena Thorlabs;33.55;33.55
|MO SM125;0.00;56.00
||Problem SM125;28.60;56.00
|||Mail do Micron Optics;27.40;27.40
Tencate;0.00;199.00
|General;0.00;199.00
||S-line Scan - 10 years warranty risk management;147.00;147.00
||Olivier - SCN86 request;51.05;51.05
Anglictina;186.00;186.00
Geosinergia;0.00;172.00
|Maintenance;0.00;172.00
||Pressure calibration formula - P-01;0.00;172.00
|||Mail - Alexis;172.00;172.00
All employee;167.00;167.00
NIF zrt.;0.00;144.00
|Mail do madarciny;144.00;144.00
Magistrat Bratislavy;0.00;129.00
|Misc;0.00;129.00
||Priprava na meeting;0.00;72.00
|||Nachystanie ITR;45.07;45.07
|||Meeting - Peto/Tomas;27.00;27.00
||Mail od Peta;31.22;31.22
||Mailing;25.90;25.90
Encardio Rite;0.00;118.00
|Misc;0.00;118.00
||Priprava na meeting;63.00;63.00
||Meeting;55.00;55.00
Slovnaft;0.00;110.00
|General;0.00;110.00
||Priprava na meeting;110.00;110.00
Technicasa;44.42;101.00
|Misc;0.00;56.80
||introduction;56.80;56.80
Samuel Igor - diplomova praca;0.00;98.00
|Zadanie uloh - Jardo;98.00;98.00
Monitoring Systems;95.00;95.00
Smartfibres;0.77;92.00
|Misc;0.00;91.00
||Vypocet vyosenia snimaca - Tomas;62.00;62.00
||Kalibracia;26.23;26.23
||FWHM a Reflectivity;3.07;3.07
Lactec;0.00;83.00
|Misc;0.00;83.00
||Mail od Ada;63.00;63.00
||Meranie elongation pomocou SC-01 - Tomas;20.00;20.00
SVF STU;0.00;82.00
|Imrich Liptak;0.00;82.00
||Lucia;0.00;46.00
|||Teplotna kalibracia - mail;46.00;46.00
||Exkurzia;36.00;36.00
Geo Van;0.00;74.00
|Misc;0.00;40.00
||Zistvanie problemu na ES-01;40.00;40.00
|General;0.00;34.23
||Definicia custom WL pre D-02;34.23;34.23
Geodestek;0.00;70.00
|Misc;0.00;70.00
||Introduction mail;70.00;70.00
Exalos;0.00;70.00
|General;0.00;70.00
||Meeting;70.00;70.00
Opticke zvaracie kable;0.00;56.12
|Studium principu;56.12;56.12
Portuguese research institue;0.00;52.60
|Introduction;52.60;52.60
Pont-terv;0.00;45.18
|General;0.00;45.18
||Introduction mail - preklad;45.18;45.18
Publikacie;0.00;38.73
|VDV publikacie;0.00;29.82
||Prehlad existujucich publikacii;29.82;29.82
|Napady - Tomas;8.92;8.92
Osmos;0.00;37.53
|Misc;0.00;37.53
||Talk - Peto;37.53;37.53
Missure Mecanicche;0.00;32.78
|General;0.00;32.78
||Check kalibracnych listov;32.78;32.78
FOS - General;0.00;26.95
|General;0.00;26.95
||Nove kalibracne sablony pre teplotne snimace;26.95;26.95
Distrelec;0.00;24.85
|Meeting;24.85;24.85
Producteev;0.00;24.72
|Tutorials;24.72;24.72
Savcor;0.00;24.53
|Projects;0.00;24.53
||Crussel bridge;0.00;24.53
|||General;0.00;24.53
||||Uvod;24.53;24.53
Cellco;0.00;21.88
|Maintanance;0.00;13.00
||Vypocet WL pri 85C;13.00;13.00
|Misc;0.00;8.88
||Check OSA;8.88;8.88
Socotec;0.00;21.12
|Projects;0.00;21.12
||XXX - Gregory 1;0.00;21.12
|||Accelerometer check;21.12;21.12
GSM 2017;0.00;17.22
|Introduction;17.22;17.22
RST instruments;0.00;16.98
|Misc;0.00;16.98
||Introduction mail;16.98;16.98
Zerlux Hungary;0.00;14.23
|Introduction;14.23;14.23
1438 - Testy teplotnej kompenzacia;0.00;13.03
|Design;0.00;13.03
||Technologia - Tomas- Meeting;13.03;13.03
GoToMeeting;0.00;10.00
|Introduction;10.00;10.00
Agidens;0.00;9.92
|Misc;0.00;9.92
||Uvod;9.92;9.92
Zilinska univerzita;0.00;6.13
|Check kalibracnych listov;6.13;6.13
Sales - quick request;3.37;3.37
(time without task assigned);0.88;0.88
Total;105429.00;105429.00
;0.00;0.00
