Hours without subtasks;Hours with subtasks
11m 33s;11m 33s
11h 23m;15h 27m
1h 45m;1h 45m
1h 18m;1h 18m
43m 8s;43m 8s
17m 25s;17m 25s
9h 9m;9h 9m
4h 2m;4h 2m
54m 15s;54m 15s
41m 19s;41m 19s
34m 12s;34m 12s
18m 20s;18m 20s
16m 24s;16m 24s
7h 34m;10h 28m
1h 14m;1h 14m
1h 6m;1h 6m
33m 18s;33m 18s
2h 8m;2h 8m
1h 38m;1h 38m
1h 20m;1h 20m
-;12h 16m
5h 21m;6h 17m
44m 7s;44m 7s
8m 39s;8m 39s
3m 55s;3m 55s
-;2h 56m
10m;1h 13m
44m 58s;44m 58s
18m 35s;18m 35s
29m;29m
26m 42s;26m 42s
18m 44s;18m 44s
17m 14s;17m 14s
11m 45s;11m 45s
2h 56m;2h 56m
5m 11s;5m 11s
-;5h 8m
1h 26m;3h 39m
1h 4m;1h 4m
47m 35s;47m 35s
22m;22m
1h 29m;1h 29m
-;2h 13m
19m 10s;2h 13m
1h 35m;1h 35m
10m 51s;10m 51s
7m 59s;7m 59s
-;13h 4m
19m 13s;8h 30m
2h 17m;4h 11m
1h 54m;1h 54m
2h 3m;2h 3m
1h 55m;1h 55m
2h 54m;2h 54m
-;1h 25m
1h 16m;1h 16m
9m;9m
14m 20s;14m 20s
33m 41s;95h 1m
-;82h 52m
30h;39h 57m
2h 29m;2h 29m
2h 20m;2h 20m
1h 35m;1h 35m
57m 6s;57m 6s
49m 11s;49m 11s
41m;41m
33m;33m
30m 32s;30m 32s
57m 20s;34h 33m
4h 58m;26h 6m
4h 24m;20h 24m
6h 6m;6h 6m
4h 40m;4h 40m
3h 44m;3h 44m
1h 9m;1h 9m
18m 47s;18m 47s
44m 14s;44m 14s
5h 52m;5h 52m
39m 29s;39m 29s
34m;34m
24m 5s;24m 5s
3h 21m;3h 21m
1h 53m;1h 53m
1h 12m;1h 12m
50m;50m
40m 16s;40m 16s
52s;23m 2s
22m 10s;22m 10s
2h 19m;7h 56m
2h 10m;2h 10m
2h;2h
1h 26m;1h 26m
2h 17m;2h 17m
1h 21m;1h 21m
-;92h 44m
-;89h 37m
1h 31m;89h 37m
-;39h 9m
13h 29m;24h 51m
3h 16m;3h 46m
30m;30m
2h 10m;2h 10m
1h 49m;1h 49m
1h 15m;1h 15m
1h 8m;1h 8m
38m 31s;38m 31s
19m 22s;19m 22s
14m 45s;14m 45s
-;12h 39m
-;6h 31m
6h 31m;6h 31m
1m 17s;1h 55m
1h 54m;1h 54m
58m 2s;1h 44m
46m 14s;46m 14s
53m 31s;53m 31s
35m 1s;35m 1s
33m 20s;33m 20s
27m 7s;27m 7s
-;51m 7s
51m 7s;51m 7s
-;47m 8s
47m 8s;47m 8s
-;21h 5m
-;12h 56m
3h 56m;7h 49m
43m 43s;2h 28m
1h 45m;1h 45m
1h 24m;1h 24m
1h 37m;1h 37m
1h 26m;1h 26m
1h 20m;1h 20m
43m 14s;43m 14s
7h 41m;7h 41m
16m 40s;16m 40s
11m 6s;11m 6s
-;16h 15m
8h 11m;8h 11m
5h 37m;5h 37m
1h 19m;1h 19m
44m 25s;44m 25s
24m;24m
-;10h 25m
10h 15m;10h 15m
10m;10m
-;1h 9m
59m;59m
10m 57s;10m 57s
-;3h 6m
1h 57m;3h 6m
58m;58m
11m 1s;11m 1s
-;92h 31m
-;29h 2m
23h 55m;23h 55m
5h 6m;5h 6m
5h 17m;19h 54m
8h 39m;8h 39m
5h 18m;5h 18m
39m 2s;39m 2s
2h 17m;10h 28m
3h 33m;3h 33m
1h 41m;1h 41m
53m 1s;53m 1s
51m 35s;51m 35s
39m;39m
32m 28s;32m 28s
8h 14m;8h 14m
3h 4m;6h 27m
-;1h 49m
1h 49m;1h 49m
1h 4m;1h 4m
29m;29m
5h 5m;5h 5m
4h 52m;4h 52m
-;2h 30m
1h 30m;1h 30m
41m 33s;41m 33s
19m 7s;19m 7s
1h 33m;1h 33m
1h 5m;1h 5m
57m 56s;57m 56s
39m 45s;39m 45s
28m 48s;28m 48s
23m 55s;23m 55s
21m;21m
18m 52s;18m 52s
5m 46s;5m 46s
17h 3m;81h 58m
64h 54m;64h 54m
-;69h 11m
-;63h 46m
3h 22m;60h 33m
-;55h 39m
24h 35m;30h 59m
1h 55m;1h 55m
1h 35m;1h 35m
1h 21m;1h 21m
55m;55m
36m 40s;36m 40s
3h 48m;7h 24m
3h 5m;3h 5m
30m;30m
6h 36m;7h 19m
24m 56s;24m 56s
17m 57s;17m 57s
3h 16m;3h 16m
58m 15s;58m 15s
50m;50m
42m 50s;42m 50s
40m 29s;40m 29s
40m;40m
39m 49s;39m 49s
28m 22s;28m 22s
27m 9s;27m 9s
20m 44s;20m 44s
18m 24s;18m 24s
18m;18m
15m 42s;15m 42s
-;1h 32m
51m 32s;51m 32s
28m 31s;28m 31s
12m 13s;12m 13s
38s;3h 12m
1h 11m;2h 50m
1h 25m;1h 25m
12m 33s;12m 33s
21m 52s;21m 52s
-;4h 26m
3h 16m;3h 16m
35m 31s;35m 31s
30m;33m 55s
3m 55s;3m 55s
-;58m 53s
58m 53s;58m 53s
-;56h 46m
45h 43m;45h 43m
-;6h 50m
3m 20s;5h 18m
5h 15m;5h 15m
1h 2m;1h 2m
28m 26s;28m 26s
1h 13m;1h 13m
1h 6m;1h 6m
55m 13s;55m 13s
51m;51m
8m 23s;8m 23s
-;54h 12m
30h;30h
7h 15m;21h 58m
6h 52m;12h 6m
4h 24m;4h 24m
30m 8s;30m 8s
19m 18s;19m 18s
1h 24m;1h 24m
45m 32s;45m 32s
19m 7s;19m 7s
